iter	Passed	Remaining
434	26615	3976
435	26671	3915
436	26731	3853
437	26791	3792
438	26851	3731
439	26910	3669
440	26968	3608
441	27027	3546
442	27089	3485
443	27152	3424
444	27211	3363
445	27271	3301
446	27330	3240
447	27390	3179
448	27451	3118
449	27507	3056
450	27566	2995
451	27624	2933
452	27689	2872
453	27743	2811
454	27802	2749
455	27861	2688
456	27920	2627
457	27978	2565
458	28036	2504
459	28095	2443
460	28155	2381
461	28219	2321
462	28280	2259
463	28339	2198
464	28397	2137
465	28457	2076
466	28515	2015
467	28568	1953
468	28630	1892
469	28690	1831
470	28752	1770
471	28813	1709
472	28869	1647
473	28926	1586
474	28985	1525
475	29044	1464
476	29101	1403
477	29167	1342
478	29230	1281
479	29288	1220
480	29347	1159
481	29409	1098
482	29469	1037
483	29529	976
484	29586	915
485	29646	854
486	29711	793
487	29770	732
488	29831	671
489	29889	609
490	29949	548
491	30010	487
492	30069	426
493	30127	365
494	30185	304
495	30247	243
496	30309	182
497	30367	121
498	30425	60
499	30483	0
