iter	Logloss
150	0.5835745806
151	0.5835154695
152	0.5834829788
153	0.5834184368
154	0.5833675943
155	0.5833082041
156	0.5832721448
157	0.5832054624
158	0.5831207995
159	0.5830720917
160	0.5830245234
161	0.5829699464
162	0.5829127732
163	0.5828608201
164	0.5828104525
165	0.5827357864
166	0.5826764957
167	0.5826091547
168	0.5825613163
169	0.5824878661
170	0.5824430759
171	0.5823735751
172	0.5823072562
173	0.5822601576
174	0.5822107057
175	0.5821730244
176	0.582120408
177	0.5820665466
178	0.5819904032
179	0.5819527132
180	0.5819016758
181	0.5818371202
182	0.5817878868
183	0.5817458601
184	0.5816718886
185	0.5816237222
186	0.5815759575
187	0.5815265543
188	0.5814775374
189	0.5814262271
190	0.5813655585
191	0.5813278912
192	0.5812828874
193	0.581237401
194	0.581203169
195	0.5811559955
196	0.5811186828
197	0.5810596684
198	0.5810264017
199	0.5809834263
200	0.5809312155
201	0.5808842912
202	0.5808464352
203	0.5807958411
204	0.5807384867
205	0.5806879848
206	0.5806457198
207	0.5805820964
208	0.580535466
209	0.580487413
210	0.5804240221
211	0.5803772575
212	0.5803243987
213	0.5802647813
214	0.5802122891
215	0.5801650464
216	0.5801019163
217	0.5800459014
218	0.5800017264
219	0.5799638589
220	0.5799301664
221	0.5798816791
222	0.5798129373
223	0.5797665788
224	0.5797153924
225	0.5796434103
226	0.5796101446
227	0.5795610707
228	0.5794882072
229	0.5794744759
230	0.5794273092
231	0.5793829938
232	0.579336924
233	0.5792851386
234	0.5792425452
235	0.5792021601
236	0.5791350701
237	0.5790925133
238	0.5790459343
239	0.5790123925
240	0.5789779015
241	0.5789258502
242	0.5788789569
243	0.5788237107
244	0.5787906794
245	0.5787232548
246	0.5786637111
247	0.5786150067
248	0.5785823489
249	0.5785390626
250	0.5784904437
251	0.5784471742
252	0.5783928429
253	0.578345999
254	0.5783066835
255	0.5782470256
256	0.5782001786
257	0.5781560627
258	0.5780994264
259	0.5780518204
260	0.578001457
261	0.5779645177
262	0.5778947846
263	0.5778266251
264	0.5777531973
265	0.5777052663
266	0.5776491915
267	0.5775801429
268	0.5775340707
269	0.5774885542
270	0.5774293767
271	0.5773747717
272	0.5773144397
273	0.5772695435
274	0.5772153993
275	0.5771413767
276	0.5770935489
277	0.5770388846
278	0.5769755657
279	0.5768953696
280	0.5768341549
281	0.5767821175
282	0.5767262573
283	0.5766659368
284	0.576607057
285	0.5765459555
286	0.5764866973
287	0.5764262861
288	0.5763488403
289	0.5762808155
290	0.5762214211
291	0.5761767807
292	0.5761151471
293	0.5760793602
294	0.5760247714
295	0.5759674739
296	0.5759086914
297	0.5758563628
298	0.5757922431
299	0.5757043005
300	0.5756578744
301	0.5755934781
302	0.5755320382
303	0.5754712012
304	0.5754086403
305	0.5753428594
306	0.5752921022
307	0.5752383818
308	0.5751874002
309	0.5751301158
310	0.5750688781
311	0.575015136
312	0.5749568977
313	0.5749057867
314	0.5748423406
315	0.574796277
316	0.5747376983
317	0.5746750483
318	0.5746157039
319	0.574557444
320	0.5744805256
321	0.5744317555
322	0.57437478
323	0.5743026418
324	0.5742465908
325	0.574183662
326	0.574107505
327	0.5740320059
328	0.5739738246
329	0.5739162897
330	0.5738491174
331	0.5737767372
332	0.5737233642
333	0.5736574764
334	0.5736112307
335	0.5735521867
336	0.5735034198
337	0.5734388043
338	0.5733747638
339	0.5733065982
340	0.5732462921
341	0.5731854736
342	0.5731277812
343	0.5730827458
344	0.5730556215
345	0.5729936398
346	0.5729537778
347	0.5728911733
348	0.5728323394
349	0.5727874514
350	0.5727373709
351	0.5726824178
352	0.5726352765
353	0.5725916076
354	0.5725384033
355	0.5724785008
356	0.5724254469
357	0.5723739451
358	0.5723268661
359	0.5722674778
360	0.5721896286
361	0.5721346626
362	0.5720717747
363	0.5720036417
364	0.5719465036
365	0.5718924423
366	0.5718460818
367	0.5717953526
368	0.571746477
369	0.571698961
370	0.5716347974
371	0.5715835874
372	0.5715286141
373	0.5714814071
374	0.5714226226
375	0.5713587611
376	0.5712952836
377	0.5712313335
378	0.5711756061
379	0.5711257983
380	0.5710668296
381	0.5710237993
382	0.5709521893
383	0.5708959516
384	0.5708419276
385	0.5708044452
386	0.5707530375
387	0.5706767978
388	0.5706321017
389	0.5705871033
390	0.5705478359
391	0.5704863231
392	0.570427878
393	0.5703697774
394	0.5703247946
395	0.5702786822
396	0.5702352288
397	0.570180984
398	0.5701401546
399	0.5701020699
400	0.5700738904
401	0.5700226809
402	0.5699561281
403	0.5698985776
404	0.5698433763
405	0.5697801143
406	0.5697128655
407	0.5696569148
408	0.5696077953
409	0.5695694399
410	0.5695285907
411	0.5694758783
412	0.5694249986
413	0.5693590782
414	0.5693036394
415	0.5692562971
416	0.5691833668
417	0.5691192756
418	0.5690616338
419	0.5690114956
420	0.5689548117
421	0.5689085467
422	0.5688598129
423	0.5688125891
424	0.5687665498
425	0.5687125324
426	0.5686678075
427	0.5686194519
428	0.5685814008
429	0.5685314402
430	0.5684781412
431	0.568434811
432	0.5683803216
433	0.5683274988
434	0.5682619944
435	0.5682312292
436	0.5681869807
437	0.5681303078
438	0.5680822343
439	0.5680219246
440	0.5679669216
441	0.5679105976
442	0.5678637812
443	0.5678040067
444	0.5677640469
445	0.5677131751
446	0.5676595873
447	0.5675973734
448	0.5675468954
449	0.5674910425
450	0.5674562323
451	0.5674159179
452	0.5673748253
453	0.5673337376
454	0.5672695789
455	0.5672262665
456	0.5671815491
457	0.5671384009
458	0.5670793578
459	0.5670290908
460	0.5669761887
461	0.5669382725
462	0.5668842934
463	0.5668218989
464	0.5667708309
465	0.566721058
466	0.5666721122
467	0.5666410113
468	0.566587711
469	0.5665439974
470	0.5665032368
471	0.5664582724
472	0.5664080622
473	0.5663553289
474	0.5663020103
475	0.5662473406
476	0.5662054687
477	0.5661459789
478	0.5660977668
479	0.5660514566
480	0.5660098807
481	0.5659509374
482	0.5658983062
483	0.5658293431
484	0.5657718836
485	0.5657074978
486	0.5656540675
487	0.5656083785
488	0.5655613812
489	0.5655049417
490	0.5654621737
491	0.5654053763
492	0.565346729
493	0.5652972366
494	0.5652412598
495	0.5651890527
496	0.5651508376
497	0.5650798295
498	0.5650398346
499	0.5649999607
